Timestamp,Image Path,Left Angle (deg),Right Angle (deg),Baseline (y),Base Width (px),Drop Height (px),"Apex (x,y)",Contour Area (px^2)
2025-11-03 00:59:14,/Users/yash/DISA_1234/Sessile Drop final/img4.png,5.04,27.64,256,212,196,"252,60",46905
2025-11-03 00:59:17,/Users/yash/DISA_1234/Sessile Drop final/img4.png,55.03,58.93,231,241,171,"252,60",46905
2025-11-03 01:00:37,/Users/yash/DISA_1234/Sessile Drop final/img4.png,55.03,58.93,231,241,171,"252, 60",46905
2025-11-03 01:05:56,/Users/yash/DISA_1234/Sessile Drop final/img4.png,5.04,27.64,256,212,196,"252,60",46905
2025-11-03 01:05:58,/Users/yash/DISA_1234/Sessile Drop final/img4.png,55.03,58.93,231,241,171,"252,60",46905
2025-11-03 01:14:14,/Users/yash/DISA_1234/Sessile Drop final/img4.png,5.04,27.64,256,212,196,"252,60",46905
2025-11-03 01:14:16,/Users/yash/DISA_1234/Sessile Drop final/img4.png,55.03,58.93,231,241,171,"252,60",46905
2025-11-03 01:14:24,/Users/yash/DISA_1234/Sessile Drop final/img4.png,59.73,59.61,207,247,147,"252,60",46905
2025-11-03 01:14:25,/Users/yash/DISA_1234/Sessile Drop final/img4.png,25.12,52.52,133,230,73,"252,60",46905
2025-11-03 01:14:26,/Users/yash/DISA_1234/Sessile Drop final/img4.png,48.28,57.12,138,238,78,"252,60",46905
2025-11-03 01:14:27,/Users/yash/DISA_1234/Sessile Drop final/img4.png,37.46,15.95,80,154,20,"252,60",46905
2025-11-03 01:14:28,/Users/yash/DISA_1234/Sessile Drop final/img4.png,25.12,45.94,126,227,66,"252,60",46905
2025-11-03 01:14:29,/Users/yash/DISA_1234/Sessile Drop final/img4.png,48.28,57.12,139,238,79,"252,60",46905
2025-11-03 01:14:30,/Users/yash/DISA_1234/Sessile Drop final/img4.png,55.03,58.10,148,240,88,"252,60",46905
2025-11-03 01:14:31,/Users/yash/DISA_1234/Sessile Drop final/img4.png,60.27,59.77,158,250,98,"252,60",46905
2025-11-03 01:14:31,/Users/yash/DISA_1234/Sessile Drop final/img4.png,60.70,60.66,174,253,114,"252,60",46905
2025-11-03 01:14:32,/Users/yash/DISA_1234/Sessile Drop final/img4.png,63.15,60.66,188,254,128,"252,60",46905
2025-11-03 01:14:33,/Users/yash/DISA_1234/Sessile Drop final/img4.png,60.27,59.28,203,249,143,"252,60",46905
2025-11-03 01:14:33,/Users/yash/DISA_1234/Sessile Drop final/img4.png,59.73,59.61,214,247,154,"252,60",46905
2025-11-03 03:02:53,/Users/yash/DISA_1234/Sessile Drop final/img3.png,45.50,33.32,369,241,101,"277,268",19676
2025-11-03 03:02:55,/Users/yash/DISA_1234/Sessile Drop final/img3.png,40.13,30.63,351,243,83,"277,268",19676
2025-11-03 03:05:13,/Users/yash/DISA_1234/Sessile Drop final/img3.png,31.88,33.74,323,234,55,"277,268",19676
2025-11-03 03:05:13,/Users/yash/DISA_1234/Sessile Drop final/img3.png,29.65,35.99,291,221,23,"277,268",19676
2025-11-03 03:05:14,/Users/yash/DISA_1234/Sessile Drop final/img3.png,30.53,31.41,281,215,13,"277,268",19676
2025-11-03 03:05:25,/Users/yash/DISA_1234/Sessile Drop final/img3.png,13.23,3.23,215,166,-53,"277,268",19676
2025-11-03 03:05:26,/Users/yash/DISA_1234/Sessile Drop final/img3.png,25.41,27.17,275,197,7,"277,268",19676
2025-11-03 03:05:27,/Users/yash/DISA_1234/Sessile Drop final/img3.png,40.13,30.63,343,243,75,"277,268",19676
2025-11-03 03:05:29,/Users/yash/DISA_1234/Sessile Drop final/img3.png,40.13,30.63,347,243,79,"277,268",19676
